Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.831     -4.724          70.336    424.279
N                                 328.466    -39.989          91.772    577.529
M                                 337.065     77.901          89.499    567.653
k1                                297.941    -88.521         100.566    589.567
k2                                286.053     49.275          96.222    576.080
tau1                              380.254   -106.707         101.385    645.132
tau2                              302.164    -11.994          83.109    531.459
tauAch                            287.018      5.358          84.976    521.411
tauNor                            264.710     14.510          84.536    510.412
beta                              343.448    -50.961          81.827    543.852
h0                                319.421    -13.832          88.135    554.431
mNor                              408.576     96.313         106.010    675.598
mAch                              258.015     28.864          81.856    486.640
