Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             179.783     -3.669          52.067    323.665
N                                 248.538    -32.261          70.903    438.787
M                                 255.928     59.799          69.755    431.356
k1                                226.603    -67.620          77.426    449.941
k2                                215.316     37.853          72.191    436.311
tau1                              288.108    -80.581          78.262    490.873
tau2                              229.512     -9.370          65.183    404.242
tauAch                            216.909      4.873          64.771    395.734
tauNor                            200.501     11.121          64.159    387.827
beta                              261.129    -41.527          59.786    413.420
h0                                243.457    -11.374          64.652    422.815
mNor                              309.489     73.507          78.206    513.377
mAch                              196.646     22.958          62.638    370.226
