Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             173.828     -2.224          50.358    314.282
N                                 241.114    -29.851          68.892    426.078
M                                 248.963     59.635          68.585    420.045
k1                                219.466    -65.806          73.664    437.088
k2                                209.736     37.691          69.915    425.219
tau1                              278.833    -79.362          73.757    476.409
tau2                              222.367    -10.288          62.649    392.902
tauAch                            211.738      4.347          63.330    384.763
tauNor                            193.463     12.593          59.867    376.046
beta                              252.448    -38.743          60.692    401.676
h0                                234.812    -10.368          65.905    410.970
mNor                              300.083     70.501          77.525    497.912
mAch                              189.059     21.407          60.112    358.677
