Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             234.561     -2.101          65.693    420.287
N                                 324.463    -39.188          92.184    572.002
M                                 334.655     79.779          84.483    562.383
k1                                295.585    -88.428          98.497    583.813
k2                                282.969     49.772          98.869    570.674
tau1                              374.672   -106.864         104.298    637.360
tau2                              299.103    -13.920          80.050    526.518
tauAch                            285.159      4.741          82.343    513.350
tauNor                            260.048     17.075          84.473    504.055
beta                              338.242    -49.491          82.389    538.184
h0                                315.061    -11.106          85.143    548.594
mNor                              401.968     93.732         107.807    665.993
mAch                              253.318     27.687          80.348    479.186
