Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             118.489     -1.783          36.104    214.291
N                                 164.521    -20.774          47.373    290.726
M                                 169.503     40.324          44.531    286.320
k1                                149.695    -44.801          51.452    298.092
k2                                143.006     25.350          49.268    290.001
tau1                              190.220    -53.896          52.035    324.955
tau2                              151.583     -6.547          43.236    267.990
tauAch                            144.137      2.816          42.227    262.247
tauNor                            132.115      8.196          43.751    256.768
beta                              172.430    -26.715          41.220    274.134
h0                                160.207     -6.898          44.865    280.193
mNor                              204.815     48.311          53.699    339.810
mAch                              129.259     14.793          41.669    244.840
