Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             233.236     -1.842          66.127    415.221
N                                 321.232    -39.990          90.322    565.469
M                                 331.080     79.689          86.118    555.613
k1                                292.535    -87.165          96.711    576.410
k2                                280.776     47.981          95.734    565.242
tau1                              371.009   -104.756          96.417    628.977
tau2                              294.352    -12.291          84.572    518.445
tauAch                            283.761      2.788          80.723    506.685
tauNor                            255.634     17.200          84.575    496.185
beta                              334.592    -48.438          79.958    532.149
h0                                312.060     -7.446          84.519    540.789
mNor                              396.128     92.007         105.617    657.204
mAch                              251.722     27.613          78.202    473.582
