Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             192.518     -6.809          53.748    330.106
N                                 259.347    -39.020          73.870    457.855
M                                 264.981     44.426          71.087    443.455
k1                                240.980    -67.836          75.135    451.977
k2                                230.276     25.944          77.611    461.017
tau1                              301.704    -86.560          78.442    500.050
tau2                              239.200      0.791          69.127    420.891
tauAch                            226.263     -4.570          63.088    398.586
tauNor                            213.973     -0.134          71.106    414.748
beta                              276.569    -32.704          66.304    438.048
h0                                261.303      9.404          68.953    431.500
mNor                              318.237     84.113          84.782    524.952
mAch                              212.722     23.762          63.581    384.599
