Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.215     -5.777          66.549    420.608
N                                 324.576    -41.358          92.781    570.586
M                                 333.702     76.456          92.985    560.681
k1                                295.467    -87.455          97.983    584.238
k2                                281.875     48.653          94.585    567.720
tau1                              377.217   -104.510         100.597    638.638
tau2                              299.707    -11.330          84.699    525.278
tauAch                            283.440      6.305          84.483    515.997
tauNor                            262.818     13.332          81.484    504.842
beta                              340.874    -53.151          82.282    537.518
h0                                319.084    -15.435          84.649    549.270
mNor                              404.019     96.112         105.384    668.708
mAch                              257.141     29.781          79.802    482.280
