Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             223.895     -5.025          64.785    401.810
N                                 308.834    -40.728          91.415    544.757
M                                 317.777     73.425          84.577    534.756
k1                                281.940    -83.957          96.967    558.151
k2                                267.202     46.413          91.558    540.942
tau1                              358.180    -99.533          99.536    609.302
tau2                              285.189    -11.017          82.210    501.467
tauAch                            268.892      6.080          78.896    490.637
tauNor                            249.694     12.982          77.119    481.689
beta                              324.701    -51.928          80.059    513.072
h0                                302.988    -14.020          80.818    524.277
mNor                              384.372     91.603         103.076    637.492
mAch                              245.157     28.661          78.146    459.811
