Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             222.224     -8.253          62.371    389.111
N                                 310.783    -28.163          89.976    545.668
M                                 306.327     70.098          81.659    514.388
k1                                276.003    -84.725          89.031    534.641
k2                                263.187     41.303          88.816    527.589
tau1                              347.143    -96.455          95.069    585.547
tau2                              272.459     -8.290          74.616    481.072
tauAch                            266.252     -0.899          78.012    471.958
tauNor                            240.518     14.989          75.365    466.207
beta                              314.277    -45.135          77.029    497.693
h0                                306.439    -11.844          81.019    518.179
mNor                              371.384     87.871          96.591    613.313
mAch                              237.375     24.085          72.314    445.257
