Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             181.095      3.603          50.933    320.595
N                                 249.050    -28.675          70.323    436.298
M                                 256.426     59.516          67.654    430.294
k1                                225.859    -64.816          75.681    438.807
k2                                224.241     34.725          76.380    446.225
tau1                              286.536    -85.153          74.931    480.971
tau2                              227.235     -5.913          64.500    399.551
tauAch                            223.027     -1.835          61.987    391.456
tauNor                            202.582     14.471          65.209    389.831
beta                              259.318    -31.307          64.308    415.896
h0                                240.345     -0.924          65.785    415.925
mNor                              306.883     72.717          80.705    506.444
mAch                              191.277     16.201          59.712    363.040
