Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             208.606     -2.395          62.119    376.196
N                                 289.149    -35.684          83.688    510.541
M                                 298.433     71.429          79.336    503.033
k1                                263.219    -78.832          86.966    523.029
k2                                251.803     44.828          86.507    509.721
tau1                              334.240    -95.129          90.815    570.233
tau2                              266.493    -12.111          72.472    470.502
tauAch                            254.082      4.738          74.435    460.303
tauNor                            231.915     15.152          73.487    450.461
beta                              302.418    -45.865          71.536    481.192
h0                                281.368    -11.501          77.841    491.639
mNor                              359.384     84.284          95.509    596.093
mAch                              226.449     25.396          71.966    429.318
