Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             210.920      5.471          56.009    362.507
N                                 282.824    -34.295          83.516    495.943
M                                 290.604     70.370          71.901    480.810
k1                                263.118    -80.416          85.143    500.534
k2                                261.682     30.931          85.797    500.664
tau1                              340.819   -116.640          93.079    570.355
tau2                              254.962    -12.701          74.654    445.438
tauAch                            281.633    -41.128          85.092    513.338
tauNor                            236.834     28.543          74.906    446.917
beta                              297.020    -38.905          70.306    464.449
h0                                307.265     43.228          87.275    542.520
mNor                              368.920    104.083          99.601    626.026
mAch                              226.618     15.774          67.992    416.457
