Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             241.197     -2.095          68.073    430.990
N                                 334.846    -37.692          95.014    587.117
M                                 344.921     81.757          93.097    578.613
k1                                303.681    -90.217         102.137    598.490
k2                                293.747     51.130          99.043    588.552
tau1                              386.455   -110.479         104.217    654.347
tau2                              307.836    -14.079          86.887    540.587
tauAch                            295.508      4.156          86.481    530.043
tauNor                            268.721     17.841          88.431    517.618
beta                              347.991    -47.972          82.466    553.041
h0                                324.175    -11.561          92.388    562.900
mNor                              414.432     95.964         109.543    684.719
mAch                              259.985     27.437          83.043    492.665
