Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             242.250     -2.145          69.076    431.109
N                                 336.005    -38.976          94.803    588.548
M                                 344.928     81.580          95.146    578.191
k1                                304.368    -90.229          98.259    597.699
k2                                294.976     49.340          95.886    589.609
tau1                              387.587   -109.705         104.392    654.220
tau2                              307.328    -12.583          88.944    539.400
tauAch                            296.765      2.661          87.672    528.935
tauNor                            268.468     17.136          86.145    517.344
beta                              348.712    -47.137          84.455    553.610
h0                                324.536     -8.229          89.223    561.044
mNor                              414.425     95.885         109.631    684.712
mAch                              261.685     27.588          80.541    493.262
