Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             228.729     -2.399          66.398    410.949
N                                 316.733    -39.566          89.382    558.651
M                                 326.199     77.929          88.477    549.473
k1                                288.274    -86.175          96.168    570.974
k2                                276.119     48.066          97.352    557.868
tau1                              365.872   -103.757          99.188    622.881
tau2                              291.124    -12.418          83.658    513.702
tauAch                            278.358      4.188          78.004    502.031
tauNor                            253.460     16.403          83.659    492.289
beta                              330.838    -49.436          79.676    526.273
h0                                307.721    -10.465          87.132    536.154
mNor                              392.748     92.043         100.027    651.312
mAch                              248.163     27.528          75.703    469.159
