Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             155.528     -3.724          43.295    278.537
N                                 213.486    -28.327          62.005    376.545
M                                 220.220     51.061          57.358    370.356
k1                                195.143    -57.967          68.011    387.070
k2                                184.905     32.514          62.874    374.145
tau1                              248.485    -68.751          67.649    421.992
tau2                              197.917     -7.734          54.557    347.085
tauAch                            186.799      4.626          57.808    340.653
tauNor                            173.030      9.084          54.272    333.162
beta                              225.034    -36.775          54.465    355.048
h0                                211.040    -10.783          59.376    363.770
mNor                              266.000     63.564          69.594    441.441
mAch                              170.054     20.236          52.854    318.641
