Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             243.387     -3.082          70.676    432.653
N                                 337.564    -41.039          96.176    589.081
M                                 359.217     95.212          91.859    602.562
k1                                318.074   -104.145         107.891    634.629
k2                                306.048     38.915         101.772    600.141
tau1                              390.071   -114.456         105.477    652.243
tau2                              307.279    -10.772          88.323    538.213
tauAch                            321.068     -7.870          93.266    560.711
tauNor                            286.221     31.847          88.569    550.718
beta                              350.137    -45.520          84.121    554.554
h0                                323.005     -9.526          91.010    560.282
mNor                              417.240     99.106         110.748    685.452
mAch                              260.030     25.846          81.802    492.410
