Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.931     -5.551          64.755    422.741
N                                 327.191    -40.397          93.224    575.038
M                                 335.944     77.036          90.784    564.934
k1                                297.154    -88.055          98.107    587.681
k2                                284.760     49.049          96.484    572.950
tau1                              379.876   -105.835         101.598    642.987
tau2                              301.693    -11.839          85.611    529.564
tauAch                            285.703      5.888          80.922    519.631
tauNor                            264.242     13.724          80.530    508.333
beta                              342.876    -51.856          80.936    541.480
h0                                320.324    -14.777          83.747    552.644
mNor                              407.119     96.389         106.256    673.073
mAch                              257.960     29.523          80.438    485.076
