Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.882     -1.076          70.141    426.896
N                                 329.694    -38.180          90.154    579.703
M                                 341.800     82.575          88.228    572.039
k1                                301.054    -89.669         101.561    593.012
k2                                288.688     51.656          98.414    580.504
tau1                              381.207   -109.394         105.159    646.382
tau2                              304.540    -15.224          82.837    534.736
tauAch                            291.852      4.684          83.466    522.601
tauNor                            264.499     19.148          87.262    510.577
beta                              343.213    -49.279          83.069    546.179
h0                                320.883    -11.460          90.507    557.560
mNor                              407.418     94.274         100.764    675.178
mAch                              256.803     27.517          79.780    485.701
