Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             143.459     -6.525          39.241    249.354
N                                 193.286    -28.830          53.968    336.712
M                                 198.067     39.926          52.812    328.363
k1                                177.157    -50.132          57.641    344.623
k2                                167.264     25.761          56.407    332.793
tau1                              225.886    -60.258          59.694    376.594
tau2                              180.352     -1.668          48.605    309.393
tauAch                            166.735      5.061          49.141    302.269
tauNor                            161.397      4.046          48.486    301.814
beta                              204.647    -36.242          48.426    318.695
h0                                195.358     -8.301          52.848    325.218
mNor                              239.574     59.789          63.301    395.152
mAch                              157.952     18.849          47.544    285.891
