Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             243.170      5.024          67.615    421.105
N                                 329.051    -33.916          93.384    573.655
M                                 340.815     82.653          89.695    561.961
k1                                303.392    -89.052          96.086    577.242
k2                                292.256     46.811         101.008    578.460
tau1                              378.351   -109.257          99.151    630.321
tau2                              302.517    -13.977          86.044    525.507
tauAch                            298.559     -1.474          77.307    510.461
tauNor                            262.377     21.099          82.354    501.343
beta                              337.191    -37.153          78.434    537.324
h0                                317.138      4.448          84.676    541.615
mNor                              394.750     86.782         102.906    656.142
mAch                              253.722     24.683          76.639    471.299
