Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             230.897     -3.500          66.257    418.158
N                                 320.723    -40.622          91.515    566.954
M                                 330.489     78.563          86.413    558.334
k1                                291.772    -87.484          99.700    581.431
k2                                278.516     49.523          97.627    565.261
tau1                              370.925   -105.035         104.743    633.958
tau2                              295.391    -12.816          85.993    522.405
tauAch                            280.805      5.734          81.105    511.594
tauNor                            257.511     15.915          81.851    500.710
beta                              336.138    -52.254          82.803    534.514
h0                                312.390    -13.772          87.771    546.481
mNor                              399.480     94.280         105.605    662.946
mAch                              252.185     28.777          77.253    477.748
