Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             691.745    653.506        1256.578   6550.006
N                                  46.639      6.975          14.012     85.694
M                                  47.320    -12.598          12.134     78.317
k1                                 41.467     12.099          13.186     78.096
k2                                 42.542     -4.351          13.286     80.500
tau1                               66.553     -0.663          31.253    183.567
tau2                               39.848     -0.084          10.933     69.603
tauAch                            693.502    640.503        1256.773   6440.461
tauNor                             40.030     -2.796          13.110     77.085
beta                               45.182      3.192          11.204     73.060
h0                                 45.288     -6.828          12.391     78.955
mNor                               63.514     -1.008          23.773    137.929
mAch                               46.939    -12.129          22.993    126.396
