Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          16902609050292306575360.000 -16902608466583574544384.000 33010753593816609980416.000 169026087613859958358016.000
N                              59295478582638657536.000 59295478582638657536.000 110738335345469046784.000 592954785826388049920.000
M                              4263389904307683634184192.000 4263389904307683634184192.000 8126386357687506012471296.000 42633899043076835268100096.000
k1                                  0.000      0.000           0.000      0.000
k2                                  0.000      0.000           0.000      0.000
tau1                           1495706967195420677111808.000 1495706967195420677111808.000 2989788974335408002301952.000 14957069671954180464443392.000
tau2                                0.000      0.000           0.000      0.000
tauAch                         6618275653109965876363264.000 6618275653109965876363264.000 13072205077236640269729792.000 66182756528152308323713024.000
tauNor                         2640861462867581589258240.000 350552471523259697856512.000 3694916565925323245355008.000 18928769942977702130614272.000
beta                           394607603242934976217702465536.000 -394607603242934976217702465536.000 771439977574866949638050545664.000 3946076032429354828726605447168.000
h0                             4263389904307683634184192.000 4263389904307683634184192.000 8387977859382883204988928.000 42633899043076835268100096.000
mNor                                0.000      0.000           0.000      0.000
mAch                           394607603242934976217702465536.000 394607603242934976217702465536.000 786664220909953543425056833536.000 3946076032429354828726605447168.000
