Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             244.647      9.486          67.355    420.339
N                                 314.077    -44.979          92.312    552.468
M                                 344.625     96.223          95.762    581.345
k1                                298.740    -77.724          95.571    574.420
k2                                280.255     35.602          92.902    555.071
tau1                              364.596   -114.790          99.833    612.414
tau2                              314.696    -28.814          89.110    560.906
tauAch                            290.438     -8.524          80.213    509.101
tauNor                            257.107     15.760          82.467    495.191
beta                              333.446    -52.965          78.712    523.002
h0                                306.635      5.349          79.777    523.748
mNor                              404.541    108.542         104.499    668.339
mAch                              259.386     24.109          77.320    470.723
