Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             239.508     -2.706          69.604    429.405
N                                 333.273    -38.314          90.815    585.063
M                                 342.711     80.739          90.154    576.024
k1                                302.099    -89.791          99.331    596.326
k2                                291.992     50.552         103.390    585.705
tau1                              384.775   -109.630         109.087    652.371
tau2                              306.214    -13.497          87.556    538.325
tauAch                            293.262      4.347          84.782    527.815
tauNor                            267.534     16.960          86.866    516.195
beta                              346.900    -48.486          85.894    551.049
h0                                322.715    -11.984          90.277    560.835
mNor                              413.340     96.151         104.338    682.838
mAch                              259.299     27.716          79.117    491.427
