Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             228.500     -3.335          66.779    413.426
N                                 317.473    -39.863          88.202    561.046
M                                 326.999     77.657          85.727    552.064
k1                                288.867    -86.580          98.779    574.672
k2                                275.728     48.978          94.826    559.012
tau1                              366.986   -104.050         100.175    627.012
tau2                              292.450    -12.982          78.855    516.731
tauAch                            277.810      5.694          82.739    505.415
tauNor                            254.745     15.718          82.933    495.302
beta                              332.368    -51.183          80.335    528.505
h0                                308.933    -13.373          89.051    540.151
mNor                              395.191     93.089         105.883    655.440
mAch                              249.291     28.355          78.477    472.252
