Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.738     -1.706          71.149    429.493
N                                 333.472    -38.054          94.147    585.218
M                                 343.729     81.636          90.368    576.313
k1                                303.099    -90.197          99.776    596.443
k2                                292.338     50.825          98.407    586.249
tau1                              384.771   -110.036         103.173    651.740
tau2                              306.871    -14.034          83.724    538.945
tauAch                            294.334      3.960          85.481    526.961
tauNor                            267.405     17.985          84.302    515.752
beta                              346.572    -48.244          83.069    551.013
h0                                323.005    -10.672          91.107    560.718
mNor                              412.220     95.402         106.766    681.675
mAch                              258.958     27.383          88.490    490.217
