Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.745     -4.817          64.060    408.043
N                                 315.657    -60.139          89.235    556.394
M                                 304.018     75.624          76.416    508.443
k1                                280.257    -83.268          94.390    536.172
k2                                276.090     26.721          87.440    536.841
tau1                              350.789    -98.888          91.168    582.389
tau2                              267.420     -9.896          76.205    470.637
tauAch                            294.280    -19.424          78.952    505.449
tauNor                            243.903     21.358          79.464    477.007
beta                              322.012    -48.375          76.419    500.978
h0                                296.347     25.930          75.903    495.761
mNor                              371.448     92.159          95.327    606.901
mAch                              244.624     23.060          75.624    453.747
