Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.839     -2.322          69.172    430.652
N                                 334.519    -37.963          95.318    586.602
M                                 344.362     81.681          92.572    577.999
k1                                303.251    -90.050         103.387    598.011
k2                                293.432     50.832         101.523    587.980
tau1                              386.120   -110.140         104.853    653.788
tau2                              307.308    -13.830          89.460    539.836
tauAch                            295.159      4.054          87.112    529.717
tauNor                            268.363     17.624          86.132    517.055
beta                              347.832    -48.107          84.195    552.549
h0                                323.794    -11.480          89.155    562.286
mNor                              414.137     96.048         107.430    684.232
mAch                              259.953     27.660          82.010    492.514
