Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             160.137     -0.707          45.694    285.404
N                                 220.563    -26.149          62.449    388.038
M                                 228.119     54.821          59.888    382.171
k1                                201.146    -59.893          69.437    396.204
k2                                192.947     33.927          66.652    388.350
tau1                              254.846    -72.937          67.058    432.216
tau2                              203.136     -9.535          56.124    357.213
tauAch                            194.693      2.698          56.078    348.574
tauNor                            176.790     12.402          56.162    341.911
beta                              229.536    -32.899          54.309    365.546
h0                                214.489     -6.802          55.833    372.372
mNor                              272.673     63.259          71.405    451.642
mAch                              171.811     18.412          51.521    324.959
