Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.000     -5.581          67.157    422.618
N                                 327.376    -40.648          93.471    575.062
M                                 335.871     76.658          90.077    564.563
k1                                297.427    -88.028          99.447    587.199
k2                                284.769     48.679          96.390    572.742
tau1                              379.842   -105.677         101.965    642.779
tau2                              301.620    -11.449          85.345    529.206
tauAch                            285.450      5.725          84.934    519.009
tauNor                            264.582     13.407          84.683    508.507
beta                              342.997    -51.774          82.612    541.423
h0                                320.092    -14.400          85.117    552.088
mNor                              407.202     96.472         104.459    673.055
mAch                              258.324     29.430          80.940    485.079
