Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          61168126090392371200.000 58337865610577739776.000 117179457922904457216.000 597840392965389418496.000
N                                   7.680      7.680          15.833     76.800
M                                   0.000      0.000           0.000      0.000
k1                                  0.000      0.000           0.000      0.000
k2                                  0.000      0.000           0.000      0.000
tau1                                0.000      0.000           0.000      0.000
tau2                                0.000      0.000           0.000      0.000
tauAch                              0.000      0.000           0.000      0.000
tauNor                              0.000      0.000           0.000      0.000
beta                                0.000      0.000           0.000      0.000
h0                                  0.000      0.000           0.000      0.000
mNor                                0.000      0.000           0.000      0.000
mAch                                0.000      0.000           0.000      0.000
