Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             192.030      1.321          48.541    321.271
N                                 307.691   -115.297         191.018   1034.653
M                                 237.351     69.229          64.073    398.168
k1                                199.009    -59.215          65.298    376.681
k2                                225.169     -0.331          74.852    445.371
tau1                              263.030    -81.749          65.029    432.533
tau2                              190.549     -1.867          53.668    335.511
tauAch                            227.773      5.191          58.497    381.281
tauNor                            283.606     61.700         154.321    836.282
beta                              230.117    -29.678          53.579    360.833
h0                                212.695     25.823          57.184    365.130
mNor                              268.189     50.597          67.132    436.248
mAch                              192.220      4.715          63.351    376.590
