Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             133.339     -1.533          39.536    240.657
N                                 184.783    -22.763          53.818    326.388
M                                 190.856     45.693          52.337    321.606
k1                                168.202    -50.402          57.276    334.488
k2                                160.768     28.829          55.166    325.695
tau1                              213.679    -60.884          57.474    364.777
tau2                              170.330     -7.929          48.362    300.753
tauAch                            162.302      3.254          47.778    294.349
tauNor                            148.251      9.703          48.330    288.006
beta                              193.236    -29.352          46.408    307.572
h0                                179.955     -7.674          48.537    314.474
mNor                              229.847     53.903          59.730    381.190
mAch                              144.786     16.235          46.776    274.589
