Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             235.758     -4.958          67.686    423.499
N                                 327.856    -40.152          89.921    576.328
M                                 336.459     77.484          84.219    566.564
k1                                297.428    -88.350         100.512    588.549
k2                                285.481     49.033          99.597    574.816
tau1                              379.846   -106.280         105.849    643.928
tau2                              301.757    -11.701          83.316    530.442
tauAch                            286.526      5.347          84.559    520.712
tauNor                            264.604     14.256          84.960    509.546
beta                              343.044    -51.197          80.653    542.894
h0                                319.502    -14.042          83.802    553.491
mNor                              407.906     96.302         107.248    674.579
mAch                              257.911     28.904          82.028    485.895
