Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                          726236792995129.500 -726236792995108.000 1392354508122722.500 7262367929951120.000
N                                  23.697      5.337           8.258     48.879
M                                  20.548     -4.673           5.702     34.798
k1                                 18.128      5.177           5.932     35.473
k2                                 22.854      0.668           7.996     49.009
tau1                               26.255      8.437           7.714     47.100
tau2                               18.042     -1.393           5.587     33.711
tauAch                             27.367      4.054           8.835     53.536
tauNor                             18.642     -2.581           5.730     34.976
beta                               21.835     -0.646           5.535     36.429
h0                                 19.618     -0.753           5.900     36.309
mNor                               28.220     -9.587           8.684     50.470
mAch                               15.125      0.425           5.171     31.027
