Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.362     -6.559          67.979    421.263
N                                 327.270    -41.383          93.680    574.014
M                                 335.414     74.877          91.537    561.624
k1                                298.059    -87.797          96.560    584.685
k2                                283.993     47.663          96.836    569.818
tau1                              379.943   -104.747         102.734    641.108
tau2                              301.668    -11.059          86.267    527.670
tauAch                            283.776      5.930          82.660    516.066
tauNor                            264.914     11.734          80.706    507.381
beta                              343.153    -51.713          79.815    539.558
h0                                320.597    -14.134          86.708    549.290
mNor                              406.506     96.706         107.049    671.020
mAch                              259.304     29.845          79.969    483.872
