Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.920     -2.658          68.649    429.904
N                                 334.540    -39.002          91.267    586.437
M                                 343.538     81.231          92.742    576.716
k1                                303.020    -89.773         103.102    596.697
k2                                293.485     49.677          99.071    587.465
tau1                              386.140   -109.383         105.318    652.760
tau2                              306.368    -12.734          90.255    538.175
tauAch                            294.930      3.119          85.785    528.051
tauNor                            267.676     17.086          85.786    516.095
beta                              347.803    -47.895          80.752    552.111
h0                                323.622     -9.639          88.343    560.468
mNor                              413.647     96.112         105.467    683.364
mAch                              260.541     27.799          82.273    492.203
