Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             179.319      6.315          49.635    312.709
N                                 242.767    -28.219          71.103    424.737
M                                 251.582     58.291          65.407    419.149
k1                                218.639    -61.256          69.122    422.613
k2                                224.106     31.699          71.048    441.214
tau1                              279.786    -84.677          76.326    466.410
tau2                              219.424     -3.621          61.415    386.783
tauAch                            221.538     -7.427          60.813    381.616
tauNor                            197.773     14.847          65.717    379.664
beta                              254.997    -25.895          64.186    408.446
h0                                233.901      5.118          63.588    402.554
mNor                              297.700     71.464          75.586    490.255
mAch                              186.090     15.113          56.557    353.203
