Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             223.489     -8.511          62.619    384.665
N                                 299.913    -49.602          88.321    522.549
M                                 298.792     70.496          75.946    490.638
k1                                262.810    -77.081          87.384    504.381
k2                                261.960     32.346          86.215    513.588
tau1                              334.812    -96.081          88.211    550.575
tau2                              267.895    -13.273          74.254    458.454
tauAch                            283.631     -9.452          76.524    478.804
tauNor                            234.905     14.445          75.063    447.203
beta                              307.008    -34.448          70.157    478.691
h0                                273.063      4.965          72.966    465.786
mNor                              359.889     90.256          92.626    590.483
mAch                              228.704     23.236          70.704    422.470
