Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             214.186     -3.497          65.396    379.108
N                                 292.493    -38.130          79.799    515.052
M                                 300.284     70.386          82.229    504.798
k1                                269.667    -80.795          88.708    526.840
k2                                259.080     38.814          89.939    516.620
tau1                              338.780    -96.576          95.657    573.839
tau2                              269.554     -9.139          79.852    474.281
tauAch                            255.094     -1.840          74.983    457.588
tauNor                            236.638     16.199          76.068    459.015
beta                              308.646    -44.092          76.904    486.927
h0                                281.056     -5.992          76.843    489.396
mNor                              363.904     86.670          97.135    601.823
mAch                              233.616     22.732          74.376    434.325
