Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             152.243      0.165          43.455    269.080
N                                 208.777    -24.135          60.306    366.331
M                                 216.052     52.192          58.518    360.689
k1                                190.590    -56.593          63.895    372.932
k2                                183.436     31.600          64.853    367.572
tau1                              240.916    -69.065          65.634    406.722
tau2                              192.132     -8.921          52.503    336.961
tauAch                            185.293      1.531          52.914    328.419
tauNor                            166.963     12.312          55.614    322.188
beta                              216.528    -29.623          51.523    344.956
h0                                202.620     -4.364          55.608    350.307
mNor                              256.563     58.985          67.467    425.021
mAch                              161.915     16.744          51.517    305.582
