Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.015     -1.914          67.786    423.020
N                                 326.172    -39.472          90.563    574.891
M                                 336.849     80.696          87.606    565.981
k1                                297.135    -88.810         101.844    587.541
k2                                284.600     50.201          96.850    574.348
tau1                              376.824   -107.509         102.876    640.967
tau2                              300.467    -13.826          87.916    529.297
tauAch                            287.254      4.659          85.084    516.998
tauNor                            261.426     17.549          86.876    506.736
beta                              340.132    -50.074          83.587    541.351
h0                                317.086    -11.271          87.516    552.081
mNor                              404.187     94.259         109.532    669.914
mAch                              254.745     27.898          81.353    482.259
