Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             126.798      0.972          33.931    220.789
N                                 172.247    -20.586          49.110    301.238
M                                 177.614     43.341          45.224    294.868
k1                                157.161    -46.102          50.723    303.616
k2                                152.202     24.205          52.687    302.795
tau1                              198.518    -56.035          53.531    331.792
tau2                              156.337     -6.049          43.876    273.793
tauAch                            154.070     -1.252          42.072    267.882
tauNor                            135.920     10.619          42.535    263.150
beta                              177.054    -21.965          43.642    282.607
h0                                166.606      1.771          45.721    284.993
mNor                              208.764     47.249          54.355    346.331
mAch                              133.698     12.935          42.525    249.590
