Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             199.834     -1.124          55.799    348.449
N                                 271.771    -38.214          76.885    477.348
M                                 275.717     65.063          71.612    463.682
k1                                245.470    -72.507          82.423    482.795
k2                                234.966     38.506          80.371    472.668
tau1                              310.867    -86.957          84.062    527.065
tau2                              244.723     -7.820          68.341    432.027
tauAch                            237.136      1.968          68.516    423.452
tauNor                            214.989     15.505          71.644    417.690
beta                              281.135    -41.918          67.574    445.905
h0                                264.112     -2.559          69.395    452.698
mNor                              330.660     76.665          87.069    550.723
mAch                              214.935     23.971          66.434    398.677
