Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             210.989     -2.395          61.461    379.315
N                                 292.553    -36.552          85.572    516.158
M                                 300.958     71.212          80.263    506.965
k1                                266.290    -79.779          88.358    526.711
k2                                254.573     44.156          85.219    514.390
tau1                              337.794    -95.572          90.625    575.222
tau2                              269.025    -11.410          77.350    474.420
tauAch                            256.368      4.180          74.074    462.999
tauNor                            234.496     14.437          74.505    455.155
beta                              305.408    -45.609          73.604    485.747
h0                                283.969     -9.991          77.026    494.679
mNor                              362.893     85.044          98.857    601.614
mAch                              229.311     25.335          72.226    433.209
