Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             188.191     -4.814          51.746    336.872
N                                 259.671    -34.420          72.520    457.580
M                                 266.927     60.830          70.843    447.942
k1                                237.324    -70.312          77.884    467.903
k2                                224.494     38.498          77.025    453.540
tau1                              301.424    -83.372          82.341    511.478
tau2                              239.924     -9.213          66.769    421.041
tauAch                            224.971      5.207          66.888    410.738
tauNor                            209.902      9.963          66.192    404.262
beta                              273.203    -43.437          63.546    430.433
h0                                254.891    -11.525          70.454    439.201
mNor                              322.874     77.100          83.854    534.592
mAch                              206.570     24.578          62.387    385.986
