Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             162.529     -1.500          46.919    290.010
N                                 224.386    -28.533          63.097    394.943
M                                 230.720     55.061          61.019    387.832
k1                                203.905    -60.788          68.064    402.530
k2                                195.833     33.188          65.841    394.663
tau1                              259.174    -72.949          67.591    439.484
tau2                              205.024     -7.928          57.278    361.745
tauAch                            197.430      2.018          57.299    353.655
tauNor                            178.523     11.542          57.346    346.933
beta                              233.704    -34.186          55.287    371.973
h0                                217.768     -5.230          58.721    377.588
mNor                              277.084     64.608          73.131    459.580
mAch                              176.048     19.170          55.164    331.276
