Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             135.351     -0.311          36.792    240.531
N                                 186.064    -21.656          50.337    327.038
M                                 192.689     46.367          51.085    322.205
k1                                169.766    -50.524          55.209    333.724
k2                                162.940     28.736          56.605    327.440
tau1                              214.978    -61.686          58.350    364.088
tau2                              171.495     -8.299          46.965    301.101
tauAch                            164.491      2.236          45.154    293.721
tauNor                            149.162     10.719          47.829    288.065
beta                              193.366    -27.287          46.556    308.018
h0                                180.934     -5.558          49.145    313.713
mNor                              229.684     53.065          57.954    380.360
mAch                              144.700     15.262          44.017    273.592
