Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             236.477     -4.044          72.010    425.808
N                                 329.927    -39.100          93.610    579.972
M                                 338.675     79.113          87.780    570.785
k1                                298.910    -88.952         100.653    591.989
k2                                288.114     49.796          92.977    579.651
tau1                              381.336   -107.793         105.201    647.435
tau2                              303.558    -12.652          85.815    534.074
tauAch                            289.320      4.907          85.612    524.065
tauNor                            265.249     15.571          82.243    512.195
beta                              344.434    -49.994          81.357    546.347
h0                                319.801    -13.248          89.480    556.763
mNor                              410.016     96.168         109.244    677.952
mAch                              257.890     28.526          79.624    488.087
