Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              48.869     -0.464          14.424     87.929
N                                  67.520     -8.231          19.278    119.179
M                                  69.878     16.776          18.759    117.483
k1                                 61.546    -18.401          20.511    122.150
k2                                 58.819     10.597          20.625    119.000
tau1                               78.148    -22.312          21.087    133.229
tau2                               62.242     -2.985          18.019    109.785
tauAch                             59.398      1.185          17.982    107.476
tauNor                             54.207      3.657          18.014    105.141
beta                               70.544    -10.603          16.831    112.326
h0                                 65.846     -2.788          17.401    114.858
mNor                               83.960     19.636          22.225    139.180
mAch                               52.911      5.865          17.185    100.256
