Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             241.751     -3.103          69.477    429.554
N                                 334.735    -39.929          90.955    586.407
M                                 343.421     81.415          93.592    575.975
k1                                302.841    -89.701          98.903    595.951
k2                                293.352     48.911          98.323    587.003
tau1                              386.404   -108.435         103.619    652.085
tau2                              305.514    -11.980          87.397    536.668
tauAch                            295.535      2.482          85.673    527.344
tauNor                            266.726     16.639          86.946    514.243
beta                              347.716    -47.873          82.686    551.577
h0                                323.736     -8.016          90.844    559.131
mNor                              412.690     95.708         108.524    682.410
mAch                              261.716     28.257          81.805    492.116
