Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              83.068      0.974          23.488    145.423
N                                 112.665    -12.124          31.123    197.137
M                                 117.401     28.543          30.629    194.161
k1                                103.572    -30.406          31.504    200.148
k2                                 99.306     17.431          32.202    198.056
tau1                              130.529    -37.825          34.007    218.625
tau2                              103.710     -5.561          28.592    180.870
tauAch                            100.408      0.805          28.218    176.425
tauNor                             90.303      7.379          28.954    173.266
beta                              115.842    -14.551          27.630    185.421
h0                                109.662     -1.967          30.177    188.199
mNor                              137.915     31.188          36.088    228.059
mAch                               87.133      8.182          26.773    164.028
