Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             102.503     -5.736          28.008    175.743
N                                 133.835    -20.576          37.415    235.196
M                                 139.504     27.602          34.886    229.196
k1                                124.292    -35.735          41.454    241.506
k2                                115.871     17.858          38.765    230.696
tau1                              159.171    -40.074          40.012    263.348
tau2                              127.239     -2.453          34.133    217.580
tauAch                            116.664      3.598          33.008    212.937
tauNor                            111.755      1.267          34.057    209.237
beta                              143.376    -26.014          33.469    221.854
h0                                138.333     -7.893          33.040    226.391
mNor                              166.128     41.283          43.156    275.844
mAch                              111.146     14.806          32.235    200.534
