Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             241.869     -2.004          70.774    428.251
N                                 333.921    -40.132          93.254    585.956
M                                 342.373     81.010          90.820    572.776
k1                                302.918    -90.164         104.976    592.844
k2                                291.686     48.504          97.628    583.662
tau1                              384.843   -108.412         104.584    649.445
tau2                              305.262    -13.185          87.204    534.989
tauAch                            293.245      2.500          83.332    521.606
tauNor                            265.681     16.780          88.257    513.349
beta                              345.525    -46.945          82.111    548.889
h0                                322.153     -6.051          89.024    555.834
mNor                              410.437     94.768         107.285    678.603
mAch                              260.494     27.485          80.577    488.900
