Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                              40.083      0.655          11.136     70.135
N                                  54.050     -5.704          15.744     94.620
M                                  56.564     13.744          15.132     93.124
k1                                 49.929    -14.601          15.663     96.042
k2                                 47.607      8.513          16.039     94.975
tau1                               62.853    -18.291          16.864    105.116
tau2                               49.679     -2.891          13.703     86.538
tauAch                             48.162      0.496          13.311     84.556
tauNor                             43.369      3.697          14.219     83.173
beta                               55.312     -6.725          13.561     88.941
h0                                 52.826     -1.060          13.814     90.342
mNor                               66.303     14.917          16.924    109.483
mAch                               41.906      3.722          13.541     78.823
