Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             240.103     -1.021          67.695    426.821
N                                 330.507    -39.113          91.148    580.695
M                                 341.515     82.337          91.580    571.654
k1                                301.091    -89.724         101.114    592.285
k2                                289.318     50.172          96.720    581.408
tau1                              381.558   -108.795         102.464    646.010
tau2                              303.823    -13.927          85.943    533.886
tauAch                            292.540      3.338          83.957    521.706
tauNor                            264.141     18.686          85.319    510.552
beta                              343.501    -48.704          79.876    546.505
h0                                320.813     -8.736          87.296    556.047
mNor                              407.429     94.229         108.816    675.127
mAch                              257.368     27.554          79.215    485.940
