Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             178.243     -0.353          51.437    317.539
N                                 245.414    -29.117          68.175    431.716
M                                 253.856     60.841          68.838    424.677
k1                                223.712    -66.697          73.918    439.986
k2                                214.637     37.466          76.418    431.844
tau1                              283.500    -81.153          77.742    480.549
tau2                              225.566    -10.452          61.864    396.571
tauAch                            216.662      2.829          63.302    386.961
tauNor                            196.558     13.737          62.668    380.307
beta                              254.887    -35.958          62.285    406.396
h0                                238.613     -6.903          66.296    413.370
mNor                              303.248     70.138          79.225    502.102
mAch                              191.167     20.044          61.176    361.372
