Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             224.627     -4.042          63.652    405.629
N                                 311.867    -39.887          90.937    550.632
M                                 320.938     75.378          86.234    541.033
k1                                284.155    -84.856          93.514    563.765
k2                                270.267     47.528          96.310    547.637
tau1                              360.917   -101.412         100.527    615.413
tau2                              287.471    -12.207          82.143    506.848
tauAch                            271.922      5.828          78.416    495.559
tauNor                            250.853     14.367          85.311    486.254
beta                              327.010    -51.072          78.038    518.419
h0                                303.969    -13.511          85.256    529.774
mNor                              388.069     91.789          99.085    643.364
mAch                              245.886     28.490          78.981    463.863
