Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             111.601     79.097         142.692    717.766
N                                  43.087      0.524          10.864     71.894
M                                  43.608      6.010          11.350     73.310
k1                                 37.411     -7.097          11.441     68.421
k2                                 43.465      3.725          12.853     78.548
tau1                               56.631     -6.574          19.957    114.805
tau2                              346.518    313.132         611.767   3104.153
tauAch                             44.583     -1.758          12.002     75.706
tauNor                             43.374      8.304          16.816     95.873
beta                              283.905    243.785         470.739   2403.366
h0                                666.368    627.694        1208.627   6232.827
mNor                               53.073     12.311          13.684     88.536
mAch                               40.813     -4.057          13.313     79.450
