Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             232.384     -1.482          66.399    415.347
N                                 320.477    -38.377          94.645    564.421
M                                 331.399     79.759          89.620    556.218
k1                                292.208    -87.245          98.307    577.122
k2                                280.172     49.484          96.369    564.728
tau1                              370.364   -105.792          98.780    629.170
tau2                              295.392    -13.805          84.678    520.049
tauAch                            282.953      4.263          79.732    507.982
tauNor                            256.835     17.820          83.153    497.286
beta                              334.187    -48.781          80.077    531.850
h0                                311.702    -10.675          85.428    542.355
mNor                              396.614     92.256         103.657    657.509
mAch                              250.070     27.223          79.510    473.159
