Parameter                         Mu_Star         Mu    Mu_Star_Conf      Sigma
alpha                             237.187     -1.304          68.760    423.221
N                                 327.348    -39.703          95.576    576.265
M                                 337.548     80.828          89.283    566.441
k1                                298.499    -89.101          99.692    587.371
k2                                286.338     49.141          97.976    576.282
tau1                              377.818   -107.449         104.508    641.033
tau2                              301.094    -12.944          85.506    529.745
tauAch                            289.109      3.446          82.997    516.541
tauNor                            261.709     17.491          81.926    507.255
beta                              340.959    -49.119          82.092    542.281
h0                                317.632     -8.555          85.955    551.302
mNor                              404.093     93.881         104.058    669.937
mAch                              255.720     27.810          80.812    482.212
